case_id,case_type,miss_stage,alarm_classification,candidate_key,sequence_id,subject,category,fall_type,source_relative_path,clip_file,clip_start_ms,clip_end_ms,focus_timestamp_ms,fall_onset_ms,time_of_recording,description
MISS_015,miss,base_no_candidate,,,gmdcsa24_dbea18d773a46e9a,Subject 4,Fall,FW,Subject 4/Fall/12.mp4,MISS_015_subject_4_12_base_no_candidate.mp4,0.0,4500.0,1500.0,1500.0,Day (Lights On),Falling (FW)to the floor from sitting on the bed
MISS_016,miss,verifier_rejected_not_rescued,,,gmdcsa24_4a1867bbff15a808,Subject 4,Fall,FW,Subject 4/Fall/15.mp4,MISS_016_subject_4_15_verifier_rejected_not_rescued.mp4,0.0,4700.0,1700.0,1700.0,Day (Lights On),Falling (FW) on the floor from sitting on the bed
MISS_017,miss,base_no_candidate,,,gmdcsa24_4f178dea77bf9abb,Subject 4,Fall,FW,Subject 4/Fall/03.mp4,MISS_017_subject_4_03_base_no_candidate.mp4,0.0,4700.0,1700.0,1700.0,Day (Lights Off),Walking then falling (forward) view 1
MISS_018,miss,verifier_rejected_not_rescued,,,gmdcsa24_e00d0a0d827eb19a,Subject 4,Fall,FW,Subject 4/Fall/10.mp4,MISS_018_subject_4_10_verifier_rejected_not_rescued.mp4,200.0,5057.567,2200.0,2200.0,Day (Lights On),Reading a book while sitting on the chair then falling (FW) on the ground
MISS_019,miss,base_no_candidate,,,gmdcsa24_0c0e626c81621443,Subject 4,Fall,BW,Subject 4/Fall/09.mp4,MISS_019_subject_4_09_base_no_candidate.mp4,300.0,5300.0,2300.0,2300.0,Day (Lights On),Falling backward on the bed from sitting on the bed
FALSE_ALARM_001,false_alarm,,false_alarm_adl,gmdcsa24::gmdcsa24_781f8a2ec152ba27::43::44,gmdcsa24_781f8a2ec152ba27,Subject 1,ADL,ADL,Subject 1/ADL/01.mp4,FALSE_ALARM_001_subject_1_01_false_alarm_adl.mp4,300.0,5300.0,2300.0,0.0,Day (Light On),Sitting on the bed to sleeping right side on the bed. Face towards camera
FALSE_ALARM_002,false_alarm,,false_alarm_adl,gmdcsa24::gmdcsa24_8fe5e2a87c3d72b6::33::53,gmdcsa24_8fe5e2a87c3d72b6,Subject 1,ADL,ADL,Subject 1/ADL/02.mp4,FALSE_ALARM_002_subject_1_02_false_alarm_adl.mp4,0.0,4800.0,1800.0,0.0,Day (Light On),Sitting on the bed to sleeping left side on the bed. Face towards the camera
FALSE_ALARM_003,false_alarm,,false_alarm_adl,gmdcsa24::gmdcsa24_c336f1f81cfa647a::19::77,gmdcsa24_c336f1f81cfa647a,Subject 1,ADL,ADL,Subject 1/ADL/04.mp4,FALSE_ALARM_003_subject_1_04_false_alarm_adl.mp4,0.0,4100.0,1100.0,0.0,Day (Light On),From sleeping left side on the bed (Face towards the ceiling) to sitting on the bed
FALSE_ALARM_004,false_alarm,,false_alarm_pre_onset,gmdcsa24::gmdcsa24_ed166a2dd711c893::44::98,gmdcsa24_ed166a2dd711c893,Subject 2,Fall,UNSPECIFIED,Subject 2/Fall/11.mp4,FALSE_ALARM_004_subject_2_11_false_alarm_pre_onset.mp4,350.0,5350.0,2350.0,5900.0,Night,Falling from bed to ground
FALSE_ALARM_005,false_alarm,,false_alarm_adl,gmdcsa24::gmdcsa24_ef58c25c6d49708a::40::100,gmdcsa24_ef58c25c6d49708a,Subject 2,ADL,ADL,Subject 2/ADL/08.mp4,FALSE_ALARM_005_subject_2_08_false_alarm_adl.mp4,150.0,5150.0,2150.0,0.0,Day,Exercising (Stretching thigh and trying to touch the ground:Pyramid Pose)
FALSE_ALARM_006,false_alarm,,false_alarm_adl,gmdcsa24::gmdcsa24_fd7a5a21770ab0c4::39::109,gmdcsa24_fd7a5a21770ab0c4,Subject 2,ADL,ADL,Subject 2/ADL/19.mp4,FALSE_ALARM_006_subject_2_19_false_alarm_adl.mp4,100.0,5100.0,2100.0,0.0,Night,Sitting on the ground and writing in a notebook
FALSE_ALARM_007,false_alarm,,false_alarm_adl,gmdcsa24::gmdcsa24_1953d8a5305e7d8d::95::6,gmdcsa24_1953d8a5305e7d8d,Subject 3,ADL,ADL,Subject 3/ADL/06.mp4,FALSE_ALARM_007_subject_3_06_false_alarm_adl.mp4,2900.0,7900.0,4900.0,0.0,Day,Exercising then sitting down on the floor
FALSE_ALARM_008,false_alarm,,false_alarm_adl,gmdcsa24::gmdcsa24_5100230c1f7d22a4::19::33,gmdcsa24_5100230c1f7d22a4,Subject 3,ADL,ADL,Subject 3/ADL/09.mp4,FALSE_ALARM_008_subject_3_09_false_alarm_adl.mp4,0.0,4100.0,1100.0,0.0,Day,Sleeping on the floor to sitting and then standing
FALSE_ALARM_009,false_alarm,,false_alarm_adl,gmdcsa24::gmdcsa24_f587753621be201c::19::106,gmdcsa24_f587753621be201c,Subject 3,ADL,ADL,Subject 3/ADL/03.mp4,FALSE_ALARM_009_subject_3_03_false_alarm_adl.mp4,0.0,4100.0,1100.0,0.0,Day,Getting up from the sleeping position from the bed; Putting a mask on the face; then walking
FALSE_ALARM_010,false_alarm,,false_alarm_adl,gmdcsa24::gmdcsa24_20895c4a7ce5ff07::70::10,gmdcsa24_20895c4a7ce5ff07,Subject 4,ADL,ADL,Subject 4/ADL/16.mp4,FALSE_ALARM_010_subject_4_16_false_alarm_adl.mp4,1650.0,6650.0,3650.0,0.0,Day (Lights On),Sitting on the bed; removing the goggles; then sleeping
FALSE_ALARM_011,false_alarm,,false_alarm_pre_onset,gmdcsa24::gmdcsa24_7c57683db153b4a0::19::46,gmdcsa24_7c57683db153b4a0,Subject 4,Fall,SW,Subject 4/Fall/02.mp4,FALSE_ALARM_011_subject_4_02_false_alarm_pre_onset.mp4,0.0,2977.367,1100.0,1500.0,Day (Lights On),Falling (LS) from the bed to the floor
FALSE_ALARM_012,false_alarm,,false_alarm_adl,gmdcsa24::gmdcsa24_9547a6408eeeca6d::87::56,gmdcsa24_9547a6408eeeca6d,Subject 4,ADL,ADL,Subject 4/ADL/10.mp4,FALSE_ALARM_012_subject_4_10_false_alarm_adl.mp4,2500.0,7500.0,4500.0,0.0,Day (Lights Off),Walking then sleeping on the bed after removing the goggles
FALSE_ALARM_013,false_alarm,,false_alarm_adl,gmdcsa24::gmdcsa24_a42a66af9fc8e8e9::34::63,gmdcsa24_a42a66af9fc8e8e9,Subject 4,ADL,ADL,Subject 4/ADL/15.mp4,FALSE_ALARM_013_subject_4_15_false_alarm_adl.mp4,0.0,4850.0,1850.0,0.0,Day (Lights On),Sitting to sleeping on the bed
FALSE_ALARM_014,false_alarm,,false_alarm_adl,gmdcsa24::gmdcsa24_b56a914572559ea7::19::73,gmdcsa24_b56a914572559ea7,Subject 4,ADL,ADL,Subject 4/ADL/08.mp4,FALSE_ALARM_014_subject_4_08_false_alarm_adl.mp4,0.0,4100.0,1100.0,0.0,Day (Lights Off),Sleeping to sitting; putting on the goggles and drinking water
